"","DateCollection","Source","HOSP"
"172","2018-05-29","Environmental","L"
"173","2018-05-29","Environmental","L"
"174","2018-05-29","Environmental","L"
"175","2018-05-29","Environmental","L"
"176","2018-05-29","Environmental","L"
"177","2018-05-29","Environmental","L"
"178","2018-05-29","Environmental","L"
"179","2018-05-29","Environmental","L"
"180","2018-05-29","Environmental","L"
"181","2018-05-29","Environmental","L"
"182","2018-05-29","Environmental","L"
"183","2018-05-29","Environmental","L"
"184","2018-05-29","Environmental","L"
"185","2018-05-29","Environmental","L"
"186","2018-05-29","Environmental","L"
"187","2018-05-29","Environmental","L"
"188","2018-05-29","Environmental","L"
"189","2018-05-29","Environmental","L"
"190","2018-05-29","Environmental","L"
"191","2018-05-29","Environmental","L"
"192","2018-05-29","Environmental","L"
"193","2018-05-29","Environmental","L"
"194","2018-05-29","Environmental","L"
"195","2018-05-29","Environmental","L"
"196","2018-06-05","Environmental","L"
"197","2018-06-05","Environmental","L"
"198","2018-06-05","Environmental","L"
"199","2018-06-05","Environmental","L"
"200","2018-06-05","Environmental","L"
"201","2018-06-05","Environmental","L"
"202","2018-06-05","Environmental","L"
"203","2018-06-05","Environmental","L"
"204","2018-06-05","Environmental","L"
"205","2018-06-05","Environmental","L"
"206","2018-06-05","Environmental","L"
"207","2018-06-05","Environmental","L"
"208","2018-06-05","Environmental","L"
"209","2018-06-05","Environmental","L"
"210","2018-06-05","Environmental","L"
"211","2018-06-05","Environmental","L"
"212","2018-06-05","Environmental","L"
"213","2018-06-05","Environmental","L"
"214","2018-06-05","Environmental","L"
"215","2018-06-05","Environmental","L"
"216","2018-06-05","Environmental","L"
"217","2018-06-05","Environmental","L"
"218","2018-06-05","Environmental","L"
"219","2018-06-05","Environmental","L"
"220","2018-06-05","Environmental","L"
"221","2018-06-05","Environmental","L"
"222","2018-06-05","Environmental","L"
"223","2018-06-05","Environmental","L"
"224","2018-06-05","Environmental","L"
"225","2018-06-05","Environmental","L"
"226","2018-06-05","Environmental","L"
"227","2018-06-05","Environmental","L"
"228","2018-06-05","Environmental","L"
"229","2018-06-05","Environmental","L"
"230","2018-06-05","Environmental","L"
"231","2018-06-05","Environmental","L"
"232","2018-06-05","Environmental","L"
"233","2018-06-05","Environmental","L"
"234","2018-06-05","Environmental","L"
"235","2018-06-05","Environmental","L"
"236","2018-06-05","Environmental","L"
"237","2018-06-05","Environmental","L"
"238","2018-06-05","Environmental","L"
"239","2018-06-05","Environmental","L"
"240","2018-06-05","Environmental","L"
"241","2018-06-05","Environmental","L"
"242","2018-06-05","Environmental","L"
"243","2018-06-05","Environmental","L"
"244","2018-06-05","Environmental","L"
"245","2018-06-05","Environmental","L"
"246","2018-06-05","Environmental","L"
"247","2018-06-05","Environmental","L"
"248","2018-06-06","Environmental","L"
"249","2018-06-06","Environmental","L"
"250","2018-06-06","Environmental","L"
"251","2018-06-06","Environmental","L"
"252","2018-06-06","Environmental","L"
"253","2018-06-06","Environmental","L"
"254","2018-06-06","Environmental","L"
"255","2018-06-06","Environmental","L"
"256","2018-06-06","Environmental","L"
"257","2018-06-06","Environmental","L"
"258","2018-06-06","Environmental","L"
"259","2018-06-06","Environmental","L"
"260","2018-06-06","Environmental","L"
"261","2018-06-06","Environmental","L"
"262","2018-06-06","Environmental","L"
"263","2018-06-06","Environmental","L"
"264","2018-06-06","Environmental","L"
"265","2018-06-06","Environmental","L"
"266","2018-06-06","Environmental","L"
"267","2018-06-06","Environmental","L"
"268","2018-06-06","Environmental","L"
"269","2018-06-06","Environmental","L"
"270","2018-06-06","Environmental","L"
"271","2018-06-06","Environmental","L"
"272","2018-06-06","Environmental","L"
"273","2018-06-06","Environmental","L"
"274","2018-06-06","Environmental","L"
"275","2018-06-06","Environmental","L"
"276","2018-06-06","Environmental","L"
"277","2018-06-06","Environmental","L"
"278","2018-06-06","Environmental","L"
"279","2018-06-06","Environmental","L"
"280","2018-06-06","Environmental","L"
"281","2018-06-06","Environmental","L"
"282","2018-06-06","Environmental","L"
"283","2018-06-06","Environmental","L"
"284","2018-06-06","Environmental","L"
"285","2018-06-06","Environmental","L"
"286","2018-06-06","Environmental","L"
"287","2018-06-06","Environmental","L"
"288","2018-06-06","Environmental","L"
"289","2018-06-06","Environmental","L"
"290","2018-06-06","Environmental","L"
"291","2018-06-06","Environmental","L"
"292","2018-06-06","Environmental","L"
"293","2018-06-06","Environmental","L"
"294","2018-06-06","Environmental","L"
"295","2018-06-11","Environmental","J"
"296","2018-06-11","Environmental","J"
"297","2018-06-11","Environmental","J"
"298","2018-06-11","Environmental","J"
"299","2018-06-11","Environmental","J"
"300","2018-06-11","Environmental","J"
"301","2018-06-11","Environmental","J"
"302","2018-06-11","Environmental","J"
"303","2018-06-11","Environmental","J"
"304","2018-06-11","Environmental","J"
"305","2018-06-11","Environmental","J"
"306","2018-06-11","Environmental","J"
"307","2018-06-11","Environmental","J"
"308","2018-06-11","Environmental","J"
"309","2018-06-11","Environmental","J"
"310","2018-06-11","Environmental","J"
"311","2018-06-13","Environmental","J"
"312","2018-06-13","Environmental","J"
"313","2018-06-13","Environmental","J"
"314","2018-06-13","Environmental","J"
"315","2018-06-13","Environmental","J"
"316","2018-06-13","Environmental","J"
"317","2018-06-13","Environmental","S"
"318","2018-06-13","Environmental","S"
"319","2018-06-13","Environmental","S"
"320","2018-06-13","Environmental","S"
"321","2018-06-13","Environmental","S"
"322","2018-06-13","Environmental","S"
"323","2018-06-13","Environmental","S"
"324","2018-06-13","Environmental","S"
"325","2018-06-13","Environmental","S"
"326","2018-06-13","Environmental","S"
"327","2018-06-13","Environmental","S"
"328","2018-06-13","Environmental","S"
"329","2018-06-13","Environmental","S"
"330","2018-06-13","Environmental","S"
"331","2018-06-13","Environmental","J"
"332","2018-06-13","Environmental","J"
"333","2018-06-13","Environmental","J"
"334","2018-06-13","Environmental","J"
"335","2018-06-13","Environmental","J"
"336","2018-06-19","Environmental","S"
"337","2018-06-19","Environmental","S"
"338","2018-06-19","Environmental","S"
"339","2018-06-19","Environmental","S"
"340","2018-06-19","Environmental","S"
"341","2018-06-19","Environmental","S"
"342","2018-06-19","Environmental","S"
"343","2018-06-19","Environmental","S"
"344","2018-06-19","Environmental","S"
"345","2018-06-19","Environmental","S"
"346","2018-06-19","Environmental","S"
"347","2018-06-19","Environmental","S"
"348","2018-06-19","Environmental","S"
"349","2018-06-19","Environmental","S"
"350","2018-06-19","Environmental","S"
"351","2018-06-19","Environmental","S"
"352","2018-06-19","Environmental","S"
"353","2018-06-19","Environmental","S"
"354","2018-06-13","Environmental","J"
"355","2018-06-13","Environmental","J"
"356","2018-06-13","Environmental","S"
"357","2018-06-20","Environmental","J"
"358","2018-06-20","Environmental","J"
"359","2018-06-20","Environmental","J"
"360","2018-06-20","Environmental","J"
"361","2018-06-20","Environmental","J"
"362","2018-06-20","Environmental","J"
"363","2018-06-20","Environmental","J"
"364","2018-06-20","Environmental","J"
"365","2018-06-20","Environmental","J"
"366","2018-06-20","Environmental","J"
"367","2018-06-20","Environmental","J"
"368","2018-06-20","Environmental","J"
"369","2018-06-20","Environmental","J"
"370","2018-06-20","Environmental","J"
"371","2018-06-20","Environmental","J"
"372","2018-06-20","Environmental","J"
"373","2018-06-20","Environmental","J"
"374","2018-06-20","Environmental","J"
"375","2018-06-20","Environmental","J"
"376","2018-06-20","Environmental","S"
"377","2018-06-20","Environmental","S"
"378","2018-06-20","Environmental","S"
"379","2018-06-20","Environmental","S"
"380","2018-06-20","Environmental","S"
"381","2018-06-20","Environmental","S"
"382","2018-06-20","Environmental","S"
"383","2018-06-20","Environmental","S"
"384","2018-06-20","Environmental","S"
"385","2018-06-20","Environmental","S"
"386","2018-06-20","Environmental","S"
"387","2018-06-20","Environmental","S"
"388","2018-06-20","Environmental","S"
"389","2018-06-20","Environmental","S"
"390","2018-06-20","Environmental","S"
"391","2018-06-20","Environmental","S"
"392","2018-06-20","Environmental","S"
"393","2018-07-10","Environmental","T"
"394","2018-07-10","Environmental","T"
"395","2018-07-10","Environmental","T"
"396","2018-07-10","Environmental","T"
"397","2018-07-10","Environmental","T"
"398","2018-07-10","Environmental","T"
"399","2018-07-10","Environmental","T"
"400","2018-07-10","Environmental","T"
"401","2018-07-10","Environmental","T"
"402","2018-07-10","Environmental","T"
"403","2018-07-10","Environmental","T"
"404","2018-07-10","Environmental","T"
"405","2018-07-10","Environmental","T"
"406","2018-07-10","Environmental","T"
"407","2018-07-10","Environmental","T"
"408","2018-07-10","Environmental","T"
"409","2018-07-10","Environmental","T"
"410","2018-07-10","Environmental","T"
"411","2018-07-10","Environmental","T"
"412","2018-07-10","Environmental","T"
"413","2018-07-10","Environmental","T"
"414","2018-07-10","Environmental","T"
"415","2018-07-10","Environmental","T"
"416","2018-07-10","Environmental","T"
"417","2018-07-10","Environmental","T"
"418","2018-07-10","Environmental","T"
"419","2018-07-10","Environmental","T"
"420","2018-07-10","Environmental","T"
"421","2018-07-10","Environmental","T"
"422","2018-07-10","Environmental","T"
"423","2018-07-10","Environmental","T"
"424","2018-07-10","Environmental","T"
"425","2018-07-10","Environmental","T"
"426","2018-07-10","Environmental","T"
"427","2018-07-10","Environmental","T"
"428","2018-07-10","Environmental","T"
"429","2018-07-10","Environmental","T"
"430","2018-07-10","Environmental","T"
"431","2018-07-10","Environmental","T"
"432","2018-07-10","Environmental","T"
"433","2018-07-10","Environmental","T"
"434","2018-07-10","Environmental","T"
"435","2018-07-10","Environmental","T"
"436","2018-07-10","Environmental","T"
"437","2018-07-10","Environmental","T"
"438","2018-07-10","Environmental","T"
"439","2018-07-10","Environmental","T"
"440","2018-07-10","Environmental","T"
"441","2018-07-10","Environmental","T"
"442","2018-07-10","Environmental","T"
"443","2018-07-10","Environmental","T"
"444","2018-07-10","Environmental","T"
"445","2018-07-10","Environmental","T"
"446","2018-07-10","Environmental","T"
"447","2018-07-10","Environmental","T"
"448","2018-07-10","Environmental","T"
"449","2018-07-10","Environmental","T"
"450","2018-07-10","Environmental","T"
"451","2018-07-10","Environmental","T"
"452","2018-07-10","Environmental","T"
"453","2018-07-10","Environmental","T"
"454","2018-07-10","Environmental","T"
"455","2018-07-10","Environmental","T"
"456","2018-07-10","Environmental","T"
"457","2018-07-10","Environmental","T"
"458","2018-07-10","Environmental","T"
"459","2018-07-11","Environmental","T"
"460","2018-07-11","Environmental","T"
"461","2018-07-11","Environmental","T"
"462","2018-07-11","Environmental","T"
"463","2018-07-11","Environmental","T"
"464","2018-07-11","Environmental","T"
"465","2018-07-11","Environmental","T"
"466","2018-07-11","Environmental","T"
"467","2018-07-11","Environmental","T"
"468","2018-07-11","Environmental","T"
"469","2018-07-11","Environmental","T"
"470","2018-07-11","Environmental","T"
"471","2018-07-11","Environmental","T"
"472","2018-07-11","Environmental","T"
"473","2018-07-11","Environmental","T"
"474","2018-07-11","Environmental","T"
"475","2018-07-11","Environmental","T"
"476","2018-07-11","Environmental","T"
"477","2018-07-11","Environmental","T"
"478","2018-07-11","Environmental","T"
"479","2018-07-11","Environmental","T"
"480","2018-07-11","Environmental","T"
"481","2018-07-10","Environmental","T"
"482","2018-07-10","Environmental","T"
"483","2018-07-10","Environmental","T"
"484","2018-07-11","Environmental","T"
"485","2018-07-11","Environmental","T"
"486","2018-07-11","Environmental","T"
"487","2018-07-11","Environmental","T"
"488","2018-07-11","Environmental","T"
"489","2018-07-11","Environmental","T"
"490","2018-07-11","Environmental","T"
"491","2018-07-11","Environmental","T"
"492","2018-07-11","Environmental","T"
"493","2018-07-11","Environmental","T"
"494","2018-07-11","Environmental","T"
"495","2018-07-11","Environmental","T"
"496","2018-07-11","Environmental","T"
"497","2018-07-11","Environmental","T"
"498","2018-07-11","Environmental","T"
"499","2018-07-11","Environmental","T"
"500","2018-07-11","Environmental","T"
"501","2018-07-11","Environmental","T"
"502","2018-07-11","Environmental","T"
"503","2018-07-11","Environmental","T"
"504","2018-07-11","Environmental","T"
"505","2018-07-11","Environmental","T"
"506","2018-07-11","Environmental","T"
"507","2018-07-11","Environmental","T"
"508","2018-07-11","Environmental","T"
"509","2018-07-11","Environmental","T"
"510","2018-07-11","Environmental","T"
"511","2018-07-11","Environmental","T"
"512","2018-07-11","Environmental","T"
"513","2018-07-11","Environmental","T"
"514","2018-07-11","Environmental","T"
"515","2018-07-11","Environmental","T"
"516","2018-07-11","Environmental","T"
"517","2018-07-11","Environmental","T"
"518","2018-07-11","Environmental","T"
"519","2018-07-11","Environmental","T"
"520","2018-07-11","Environmental","T"
"521","2018-07-11","Environmental","T"
"522","2018-07-11","Environmental","T"
"523","2018-07-11","Environmental","T"
"524","2018-07-10","Environmental","T"
"525","2018-07-18","Environmental","T"
"526","2018-07-18","Environmental","T"
"527","2018-07-18","Environmental","T"
"528","2018-07-18","Environmental","T"
"529","2018-07-18","Environmental","T"
"530","2018-07-18","Environmental","T"
"531","2018-07-18","Environmental","T"
"532","2018-07-18","Environmental","T"
"533","2018-07-18","Environmental","T"
"534","2018-07-18","Environmental","T"
"535","2018-07-18","Environmental","T"
"536","2018-07-18","Environmental","T"
"537","2018-07-18","Environmental","T"
"538","2018-07-18","Environmental","T"
"539","2018-07-18","Environmental","T"
"540","2018-07-18","Environmental","T"
"541","2018-07-18","Environmental","T"
"542","2018-07-18","Environmental","T"
"543","2018-07-18","Environmental","T"
"544","2018-07-18","Environmental","T"
"545","2018-07-18","Environmental","T"
"546","2018-07-18","Environmental","T"
"547","2018-07-18","Environmental","T"
"548","2018-07-18","Environmental","T"
"549","2018-07-18","Environmental","T"
"550","2018-07-18","Environmental","T"
"551","2018-07-18","Environmental","T"
"552","2018-07-18","Environmental","T"
"553","2018-07-18","Environmental","T"
"554","2018-07-18","Environmental","T"
"555","2018-07-18","Environmental","T"
"556","2018-07-18","Environmental","T"
"557","2018-07-18","Environmental","T"
"558","2018-07-18","Environmental","T"
"559","2018-07-18","Environmental","T"
"560","2018-07-18","Environmental","T"
"561","2018-07-18","Environmental","T"
"562","2018-07-18","Environmental","T"
"563","2018-07-18","Environmental","T"
"564","2018-07-18","Environmental","T"
"565","2018-07-18","Environmental","T"
"566","2018-07-18","Environmental","T"
"567","2018-07-18","Environmental","T"
"568","2018-07-18","Environmental","T"
"569","2018-07-18","Environmental","T"
"570","2018-07-18","Environmental","T"
"571","2018-07-18","Environmental","T"
"572","2018-07-18","Environmental","T"
"573","2018-07-18","Environmental","T"
"574","2018-07-18","Environmental","T"
"575","2018-07-18","Environmental","T"
"576","2018-07-18","Environmental","T"
"577","2018-07-18","Environmental","T"
"578","2018-07-18","Environmental","T"
"579","2018-07-18","Environmental","T"
"580","2018-07-18","Environmental","T"
"581","2018-07-18","Environmental","T"
"582","2018-07-18","Environmental","T"
"583","2018-07-18","Environmental","T"
"584","2018-07-18","Environmental","T"
"585","2018-07-18","Environmental","T"
"586","2018-07-18","Environmental","T"
"587","2018-07-18","Environmental","T"
"588","2018-07-18","Environmental","T"
"589","2018-07-18","Environmental","T"
"590","2018-07-18","Environmental","T"
"591","2018-07-18","Environmental","T"
"592","2018-07-18","Environmental","T"
"593","2018-07-18","Environmental","T"
"594","2018-10-30","Environmental","N"
"595","2018-10-30","Environmental","N"
"596","2018-10-30","Environmental","N"
"597","2018-10-30","Environmental","N"
"598","2018-10-30","Environmental","N"
"599","2018-10-30","Environmental","N"
"600","2018-10-30","Environmental","N"
"601","2018-10-30","Environmental","N"
"602","2018-10-30","Environmental","N"
"603","2018-10-30","Environmental","N"
"604","2018-10-30","Environmental","N"
"605","2018-10-31","Environmental","L"
"606","2018-10-31","Environmental","L"
"607","2018-10-31","Environmental","L"
"608","2018-10-31","Environmental","L"
"609","2018-10-31","Environmental","L"
"610","2018-10-31","Environmental","L"
"611","2018-10-31","Environmental","L"
"612","2018-10-31","Environmental","L"
"613","2018-10-31","Environmental","L"
"614","2018-10-31","Environmental","L"
"615","2018-10-31","Environmental","L"
"616","2018-10-31","Environmental","L"
"617","2018-10-31","Environmental","L"
"618","2018-10-31","Environmental","L"
"619","2018-10-31","Environmental","L"
"620","2018-10-31","Environmental","L"
"621","2018-11-06","Environmental","J"
"622","2018-11-06","Environmental","J"
"623","2018-11-07","Environmental","S"
"624","2018-11-07","Environmental","S"
"625","2018-11-07","Environmental","M"
"626","2018-11-07","Environmental","M"
"627","2018-11-07","Environmental","M"
"628","2018-11-13","Environmental","L"
"629","2018-11-13","Environmental","L"
"630","2018-11-13","Environmental","L"
"631","2018-11-13","Environmental","L"
"632","2018-11-13","Environmental","L"
"633","2018-11-13","Environmental","L"
"634","2018-11-13","Environmental","L"
"635","2018-11-13","Environmental","L"
"636","2018-11-13","Environmental","L"
"637","2018-11-13","Environmental","L"
"638","2018-11-13","Environmental","L"
"639","2018-11-13","Environmental","L"
"640","2018-11-13","Environmental","L"
"641","2018-11-13","Environmental","L"
"642","2018-11-13","Environmental","L"
"643","2018-11-13","Environmental","L"
"644","2018-11-13","Environmental","L"
"645","2018-11-13","Environmental","L"
"646","2018-11-13","Environmental","L"
"647","2018-11-13","Environmental","L"
"648","2018-11-13","Environmental","L"
"649","2018-11-13","Environmental","L"
"650","2018-11-13","Environmental","L"
"651","2018-11-13","Environmental","L"
"652","2018-11-13","Environmental","L"
"653","2018-11-13","Environmental","L"
"654","2018-11-13","Environmental","L"
"655","2018-11-13","Environmental","L"
"656","2018-11-13","Environmental","L"
"657","2018-11-13","Environmental","L"
"658","2018-11-13","Environmental","L"
"659","2017-12-11","Environmental","H"
"660","2017-12-11","Environmental","H"
"661","2017-12-11","Environmental","H"
"662","2018-11-19","Environmental","L"
"663","2018-11-19","Environmental","L"
"664","2018-11-19","Environmental","L"
"665","2018-11-19","Environmental","L"
"666","2018-11-19","Environmental","L"
"667","2018-11-19","Environmental","L"
"668","2018-11-19","Environmental","L"
"669","2018-11-19","Environmental","L"
"670","2018-11-19","Environmental","L"
"671","2018-11-19","Environmental","L"
"672","2018-11-19","Environmental","L"
"673","2018-11-19","Environmental","L"
"674","2018-11-19","Environmental","L"
"675","2018-11-19","Environmental","L"
"676","2018-11-19","Environmental","L"
"677","2018-11-19","Environmental","L"
"678","2018-11-19","Environmental","L"
"679","2018-11-19","Environmental","L"
"680","2018-11-19","Environmental","L"
"681","2018-11-19","Environmental","L"
"682","2018-11-19","Environmental","L"
"683","2018-11-19","Environmental","L"
"684","2018-11-19","Environmental","L"
"685","2018-11-19","Environmental","L"
"686","2018-11-19","Environmental","L"
"687","2018-11-19","Environmental","L"
"688","2018-11-19","Environmental","L"
"689","2018-11-19","Environmental","L"
"690","2018-11-19","Environmental","L"
"691","2018-11-19","Environmental","L"
"692","2018-11-19","Environmental","L"
"693","2018-11-19","Environmental","L"
"694","2018-11-19","Environmental","L"
"695","2018-11-21","Environmental","N"
"696","2018-11-21","Environmental","N"
"697","2018-11-21","Environmental","N"
"698","2018-11-21","Environmental","N"
"699","2018-11-21","Environmental","N"
"700","2018-11-21","Environmental","N"
"701","2018-11-21","Environmental","N"
"702","2018-11-21","Environmental","N"
"703","2018-11-21","Environmental","N"
"704","2018-11-21","Environmental","N"
"705","2018-11-21","Environmental","N"
"706","2018-11-21","Environmental","N"
"707","2018-11-21","Environmental","N"
"708","2018-11-21","Environmental","N"
"709","2018-11-21","Environmental","N"
"710","2018-11-21","Environmental","N"
"711","2018-11-21","Environmental","N"
"712","2018-11-21","Environmental","N"
"713","2018-11-21","Environmental","N"
"714","2018-11-21","Environmental","N"
"715","2018-11-21","Environmental","N"
"716","2018-11-26","Environmental","S"
"717","2018-11-26","Environmental","T"
"718","2018-11-26","Environmental","T"
"719","2018-11-26","Environmental","T"
"720","2018-11-26","Environmental","T"
"721","2018-11-26","Environmental","T"
"722","2018-11-26","Environmental","T"
"723","2018-11-27","Environmental","J"
"724","2018-11-27","Environmental","J"
"725","2018-11-27","Environmental","J"
"726","2018-11-27","Environmental","J"
"727","2018-12-03","Environmental","L"
"728","2018-12-03","Environmental","L"
"729","2018-12-03","Environmental","L"
"730","2018-12-03","Environmental","L"
"731","2018-12-03","Environmental","L"
"732","2018-12-03","Environmental","L"
"733","2018-12-03","Environmental","L"
"734","2018-12-03","Environmental","L"
"735","2018-12-03","Environmental","L"
"736","2018-12-03","Environmental","L"
"737","2018-12-03","Environmental","L"
"738","2018-12-03","Environmental","L"
"739","2018-12-03","Environmental","L"
"740","2018-12-03","Environmental","L"
"741","2018-12-03","Environmental","L"
"742","2018-12-03","Environmental","L"
"743","2018-12-03","Environmental","L"
"744","2018-12-03","Environmental","L"
"745","2018-12-03","Environmental","L"
"746","2018-12-03","Environmental","L"
"747","2018-12-03","Environmental","L"
"748","2018-12-03","Environmental","L"
"749","2018-12-03","Environmental","L"
"750","2018-12-03","Environmental","L"
"751","2018-12-03","Environmental","L"
"752","2018-12-03","Environmental","L"
"753","2018-12-03","Environmental","L"
"754","2018-12-03","Environmental","L"
"755","2018-12-03","Environmental","L"
"756","2018-12-04","Environmental","M"
"757","2018-12-04","Environmental","M"
"758","2018-12-10","Environmental","H"
"759","2018-12-10","Environmental","H"
"760","2018-12-10","Environmental","H"
"761","2018-12-10","Environmental","H"
"762","2018-12-10","Environmental","H"
"763","2018-12-11","Environmental","N"
"764","2018-12-11","Environmental","N"
"765","2018-12-11","Environmental","N"
"766","2018-12-11","Environmental","N"
"767","2018-12-11","Environmental","N"
"768","2018-12-11","Environmental","N"
"769","2018-12-11","Environmental","N"
"770","2018-12-11","Environmental","N"
"771","2018-12-11","Environmental","N"
"772","2018-12-12","Environmental","M"
"773","2018-12-12","Environmental","M"
"774","2018-12-12","Environmental","M"
"775","2018-12-12","Environmental","M"
